,Type,Sex,Size,Intake Type,Intake Subtype,Intake Jurisdiction,PredomBreed,PredomColor,IntakeAgeYrs,Type Sex,Type Size,Type Intake Type,Type Intake Subtype,Type Intake Jurisdiction,Type PredomBreed,Type PredomColor,Type IntakeAgeYrs,Sex Size,Sex Intake Type,Sex Intake Subtype,Sex Intake Jurisdiction,Sex PredomBreed,Sex PredomColor,Sex IntakeAgeYrs,Size Intake Type,Size Intake Subtype,Size Intake Jurisdiction,Size PredomBreed,Size PredomColor,Size IntakeAgeYrs,Intake Type Intake Subtype,Intake Type Intake Jurisdiction,Intake Type PredomBreed,Intake Type PredomColor,Intake Type IntakeAgeYrs,Intake Subtype Intake Jurisdiction,Intake Subtype PredomBreed,Intake Subtype PredomColor,Intake Subtype IntakeAgeYrs,Intake Jurisdiction PredomBreed,Intake Jurisdiction PredomColor,Intake Jurisdiction IntakeAgeYrs,PredomBreed PredomColor,PredomBreed IntakeAgeYrs,PredomColor IntakeAgeYrs,Outcome Type
10068,1.0,2.0,2.0,4.0,2.0,10.0,42.0,2.0,4.99,2.0,2.0,4.0,2.0,10.0,42.0,2.0,4.99,4.0,8.0,4.0,20.0,84.0,4.0,9.98,8.0,4.0,20.0,84.0,4.0,9.98,8.0,40.0,168.0,8.0,19.96,20.0,84.0,4.0,9.98,420.0,20.0,49.900000000000006,84.0,209.58,9.98,2
10069,0.0,3.0,0.0,4.0,1.0,8.0,20.0,9.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,24.0,60.0,27.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,80.0,36.0,0.8,8.0,20.0,9.0,0.2,160.0,72.0,1.6,180.0,4.0,1.8,0
10070,1.0,2.0,1.0,4.0,13.0,8.0,25.0,7.0,-1.0,2.0,1.0,4.0,13.0,8.0,25.0,7.0,-1.0,2.0,8.0,26.0,16.0,50.0,14.0,-2.0,4.0,13.0,8.0,25.0,7.0,-1.0,52.0,32.0,100.0,28.0,-4.0,104.0,325.0,91.0,-13.0,200.0,56.0,-8.0,175.0,-25.0,-7.0,3
10071,1.0,2.0,4.0,4.0,2.0,10.0,15.0,2.0,0.96,2.0,4.0,4.0,2.0,10.0,15.0,2.0,0.96,8.0,8.0,4.0,20.0,30.0,4.0,1.92,16.0,8.0,40.0,60.0,8.0,3.84,8.0,40.0,60.0,8.0,3.84,20.0,30.0,4.0,1.92,150.0,20.0,9.6,30.0,14.399999999999999,1.92,3
10072,1.0,3.0,2.0,3.0,3.0,10.0,25.0,15.0,2.49,3.0,2.0,3.0,3.0,10.0,25.0,15.0,2.49,6.0,9.0,9.0,30.0,75.0,45.0,7.470000000000001,6.0,6.0,20.0,50.0,30.0,4.98,9.0,30.0,75.0,45.0,7.470000000000001,30.0,75.0,45.0,7.470000000000001,250.0,150.0,24.900000000000002,375.0,62.25000000000001,37.35,1
10073,1.0,3.0,1.0,2.0,2.0,8.0,42.0,9.0,0.89,3.0,1.0,2.0,2.0,8.0,42.0,9.0,0.89,3.0,6.0,6.0,24.0,126.0,27.0,2.67,2.0,2.0,8.0,42.0,9.0,0.89,4.0,16.0,84.0,18.0,1.78,16.0,84.0,18.0,1.78,336.0,72.0,7.12,378.0,37.38,8.01,1
10074,0.0,3.0,4.0,4.0,1.0,8.0,22.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,12.0,12.0,3.0,24.0,66.0,0.0,-3.0,16.0,4.0,32.0,88.0,0.0,-4.0,4.0,32.0,88.0,0.0,-4.0,8.0,22.0,0.0,-1.0,176.0,0.0,-8.0,0.0,-22.0,-0.0,2
10075,0.0,2.0,4.0,4.0,1.0,8.0,22.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,8.0,8.0,2.0,16.0,44.0,0.0,-2.0,16.0,4.0,32.0,88.0,0.0,-4.0,4.0,32.0,88.0,0.0,-4.0,8.0,22.0,0.0,-1.0,176.0,0.0,-8.0,0.0,-22.0,-0.0,3
10076,1.0,1.0,1.0,4.0,2.0,8.0,13.0,2.0,-1.0,1.0,1.0,4.0,2.0,8.0,13.0,2.0,-1.0,1.0,4.0,2.0,8.0,13.0,2.0,-1.0,4.0,2.0,8.0,13.0,2.0,-1.0,8.0,32.0,52.0,8.0,-4.0,16.0,26.0,4.0,-2.0,104.0,16.0,-8.0,26.0,-13.0,-2.0,2
10077,1.0,2.0,4.0,4.0,2.0,10.0,15.0,2.0,4.0,2.0,4.0,4.0,2.0,10.0,15.0,2.0,4.0,8.0,8.0,4.0,20.0,30.0,4.0,8.0,16.0,8.0,40.0,60.0,8.0,16.0,8.0,40.0,60.0,8.0,16.0,20.0,30.0,4.0,8.0,150.0,20.0,40.0,30.0,60.0,8.0,0
